Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,560,284,3.17,2.97,17.73,17.27
Kanal D,394,171,2.23,1.79,12.47,10.4
Antena 1,391,200,2.21,2.09,12.37,12.17
Romania TV,250,130,1.42,1.36,7.92,7.89
Antena 3,174,103,0.99,1.07,5.51,6.23
TVR 1,68,33,0.38,0.34,2.14,1.98
Happy Channel,68,41,0.39,0.42,2.17,2.47
National TV,64,29,0.36,0.3,2.03,1.74
Antena Stars,63,30,0.36,0.32,2,1.85
DigiSport 1,55,35,0.31,0.36,1.74,2.1
Realitatea Plus,50,26,0.28,0.28,1.58,1.6
Prima TV,49,25,0.28,0.26,1.56,1.49
Digi 24,49,36,0.28,0.38,1.54,2.2
TVR 2,47,24,0.27,0.25,1.48,1.47
Pro 2,45,21,0.25,0.22,1.42,1.27
Diva,40,28,0.23,0.29,1.26,1.69
Pro Cinema,34,16,0.19,0.17,1.09,0.97
Cartoon Network,31,10,0.17,0.11,0.97,0.61
Boomerang,27,10,0.15,0.1,0.84,0.59
AXN,26,18,0.14,0.18,0.81,1.07
Nickelodeon,26,13,0.15,0.13,0.82,0.76
B1TV,25,15,0.14,0.15,0.8,0.9
ETNO,24,8,0.14,0.08,0.76,0.47
Film Cafe,23,13,0.13,0.13,0.72,0.76
Disney,21,9,0.12,0.09,0.67,0.54
Disney Junior,20,11,0.11,0.11,0.63,0.66
TNT,20,11,0.11,0.12,0.64,0.69
AMC,18,9,0.1,0.1,0.55,0.57
Minimax,16,5,0.09,0.05,0.5,0.31
History,14,8,0.08,0.09,0.43,0.5
Pro Gold,13,5,0.07,0.05,0.4,0.28
Nick JR,13,7,0.07,0.07,0.4,0.41
Eurosport 1,12,9,0.07,0.1,0.38,0.57
DigiSport 2,12,8,0.07,0.08,0.38,0.46
Pro X,11,7,0.06,0.07,0.35,0.4
Favorit TV,11,4,0.06,0.04,0.34,0.22
Comedy Central,11,10,0.06,0.1,0.33,0.58
Cinemaraton,11,4,0.06,0.04,0.34,0.25
Nicktoons,10,5,0.06,0.05,0.32,0.3
TV1000,10,6,0.06,0.06,0.32,0.37
National Geographic,9,6,0.05,0.06,0.28,0.36
AXN White,9,7,0.05,0.08,0.3,0.45
Eurosport 2,9,8,0.05,0.08,0.3,0.46
TLC,9,5,0.05,0.05,0.28,0.29
TV Paprika,9,6,0.05,0.06,0.27,0.35
Bollywood TV,9,3,0.05,0.03,0.28,0.17
N24 PLUS,8,3,0.05,0.03,0.27,0.16
Look Sport+,8,5,0.05,0.05,0.25,0.29
Kiss TV,7,3,0.04,0.03,0.22,0.19
Discovery,7,5,0.04,0.05,0.21,0.32
ZU TV,7,3,0.04,0.03,0.21,0.2
Taraf TV,6,2,0.04,0.02,0.2,0.14
National Geographic Wild,6,3,0.03,0.03,0.19,0.17
HGTV,6,6,0.04,0.06,0.21,0.35
AXN Black,5,3,0.03,0.03,0.14,0.17
JIM JAM,5,1,0.03,0.01,0.17,0.08
DigiSport 3,4,3,0.03,0.03,0.14,0.18
Aleph News,4,2,0.02,0.02,0.11,0.12
U TV,3,2,0.01,0.02,0.08,0.12
Music Channel,3,1,0.02,0.01,0.1,0.06
Telekom Sport 1,3,2,0.02,0.02,0.11,0.11
Look Sport,2,1,0.01,0.01,0.06,0.05
Magic TV,2,1,0.01,0.01,0.05,0.08
DigiSport 4,2,1,0.01,0.01,0.08,0.09
Travel Channel,2,1,0.01,0.01,0.06,0.07
Duck TV,2,1,0.01,0.01,0.05,0.08
Hit Music,1,1,0.01,0.01,0.04,0.06
E! Entertainment,1,1,0.01,0.01,0.04,0.06
Rock TV,0,0,0,0,0.01,0.01
Telekom Sport 3,0,0,0,0,0.01,0.01
Canal 33,0,0,0,0,0.01,0.02
Metropola TV,0,0,0,0,0.01,0.01
