Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,638,311,3.63,3.26,17.75,16.48
Antena 1,516,261,2.93,2.73,14.35,13.81
Kanal D,382,173,2.17,1.82,10.64,9.2
Romania TV,265,138,1.51,1.45,7.37,7.32
Antena 3,170,113,0.97,1.18,4.72,5.99
TVR 1,90,41,0.51,0.43,2.52,2.17
Digi 24,77,56,0.44,0.59,2.15,2.98
National TV,76,35,0.43,0.37,2.11,1.87
Prima TV,73,33,0.41,0.35,2.02,1.76
DigiSport 1,67,43,0.38,0.45,1.85,2.26
Pro Cinema,56,23,0.32,0.24,1.55,1.23
Realitatea Plus,56,31,0.32,0.32,1.57,1.62
TVR 2,52,25,0.29,0.26,1.43,1.33
B1TV,50,30,0.29,0.32,1.4,1.6
Happy Channel,50,29,0.28,0.3,1.38,1.53
Antena Stars,49,18,0.28,0.19,1.36,0.98
Nickelodeon,49,26,0.28,0.27,1.35,1.35
Boomerang,42,18,0.24,0.19,1.18,0.94
Pro 2,39,19,0.22,0.2,1.07,1.03
Diva,38,28,0.22,0.29,1.05,1.46
Disney,35,18,0.2,0.19,0.98,0.97
Cartoon Network,34,17,0.19,0.17,0.95,0.88
AXN,34,20,0.19,0.21,0.94,1.07
ETNO,31,8,0.18,0.08,0.86,0.43
Disney Junior,28,17,0.16,0.18,0.77,0.9
Minimax,25,9,0.14,0.09,0.7,0.47
Film Cafe,23,12,0.13,0.13,0.64,0.65
Nick JR,21,8,0.12,0.09,0.57,0.44
Eurosport 1,17,14,0.1,0.14,0.48,0.72
Paramount,17,12,0.1,0.13,0.48,0.66
AMC,17,10,0.1,0.11,0.48,0.55
TNT,17,10,0.09,0.11,0.46,0.54
Favorit TV,15,5,0.08,0.06,0.41,0.28
Pro Gold,15,7,0.09,0.07,0.43,0.37
History,15,10,0.08,0.11,0.41,0.55
TV1000,14,8,0.08,0.08,0.38,0.41
TLC,12,7,0.07,0.08,0.33,0.39
DigiSport 2,12,8,0.07,0.08,0.34,0.42
Bollywood TV,12,6,0.07,0.07,0.34,0.34
Pro X,11,6,0.07,0.07,0.32,0.34
N24 PLUS,11,4,0.06,0.04,0.3,0.2
Nicktoons,11,6,0.06,0.06,0.31,0.31
Discovery,10,8,0.06,0.08,0.28,0.43
National Geographic,10,7,0.06,0.07,0.28,0.37
Look Sport+,10,5,0.06,0.05,0.28,0.25
Comedy Central,10,8,0.06,0.08,0.28,0.43
TV Paprika,8,6,0.05,0.06,0.23,0.31
Kiss TV,7,4,0.04,0.04,0.2,0.2
National Geographic Wild,7,5,0.04,0.05,0.21,0.26
ZU TV,6,2,0.03,0.02,0.16,0.1
AXN White,6,4,0.03,0.04,0.16,0.19
Eurosport 2,6,5,0.03,0.05,0.16,0.26
DigiSport 3,6,4,0.04,0.05,0.17,0.23
TVR 3,6,3,0.04,0.03,0.18,0.16
HGTV,6,6,0.04,0.06,0.18,0.31
Taraf TV,5,1,0.03,0.01,0.14,0.06
Telekom Sport 1,5,3,0.03,0.03,0.14,0.18
Music Channel,4,2,0.02,0.02,0.11,0.1
AXN Black,4,2,0.02,0.02,0.11,0.1
JIM JAM,4,3,0.03,0.03,0.12,0.14
U TV,3,2,0.02,0.02,0.08,0.11
Hit Music,3,2,0.02,0.02,0.08,0.1
Look Sport,3,1,0.02,0.01,0.08,0.07
DigiSport 4,3,2,0.02,0.02,0.08,0.12
Travel Channel,3,3,0.02,0.03,0.09,0.14
Duck TV,3,2,0.02,0.03,0.09,0.13
E! Entertainment,2,1,0.01,0.01,0.04,0.06
Magic TV,2,2,0.01,0.02,0.06,0.1
Aleph News,2,1,0.01,0.01,0.05,0.04
Rock TV,1,1,0.01,0.01,0.03,0.05
Telekom Sport 3,1,0,0,0,0.02,0.02
Canal 33,0,0,0,0,0.01,0.02
