Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,558,276,3.13,2.89,17.2,16.45
Kanal D,344,145,1.93,1.51,10.61,8.63
Antena 1,342,170,1.92,1.78,10.55,10.15
Romania TV,263,141,1.48,1.48,8.12,8.41
Antena 3,183,114,1.03,1.19,5.64,6.77
National TV,74,36,0.42,0.38,2.29,2.14
TVR 1,66,30,0.37,0.32,2.04,1.8
Prima TV,65,29,0.37,0.3,2.02,1.72
Antena Stars,62,27,0.35,0.28,1.9,1.62
B1TV,60,37,0.34,0.39,1.85,2.22
DigiSport 1,55,36,0.31,0.37,1.69,2.12
Cartoon Network,54,27,0.31,0.29,1.68,1.63
Pro 2,52,26,0.29,0.28,1.59,1.57
Realitatea TV,51,31,0.29,0.33,1.57,1.87
Digi 24,48,35,0.27,0.37,1.49,2.11
TVR 2,46,23,0.26,0.24,1.42,1.37
Pro Cinema,43,19,0.24,0.2,1.33,1.15
Happy Channel,43,22,0.24,0.23,1.34,1.29
Boomerang,42,18,0.24,0.18,1.29,1.05
Minimax,39,17,0.22,0.18,1.19,1
ETNO,38,13,0.21,0.14,1.17,0.77
Disney,37,18,0.21,0.18,1.15,1.05
Nickelodeon,34,17,0.19,0.17,1.05,0.99
Disney Junior,32,15,0.18,0.16,1,0.89
Diva,29,22,0.16,0.23,0.89,1.3
AXN,29,18,0.16,0.18,0.89,1.05
Eurosport 2,24,18,0.13,0.19,0.74,1.06
Favorit TV,23,10,0.13,0.1,0.7,0.59
Film Cafe,21,11,0.12,0.11,0.65,0.65
Look Plus,17,5,0.1,0.05,0.53,0.3
Paramount,17,11,0.1,0.11,0.53,0.64
TNT,16,8,0.09,0.08,0.49,0.47
Eurosport 1,15,11,0.08,0.11,0.45,0.65
TLC,15,11,0.08,0.11,0.46,0.63
Pro Gold,14,5,0.08,0.05,0.42,0.31
Nick JR,14,4,0.08,0.05,0.43,0.26
Pro X,13,7,0.07,0.07,0.39,0.42
History,13,11,0.07,0.11,0.4,0.64
Kiss TV,12,4,0.07,0.05,0.37,0.26
Comedy Central,12,10,0.07,0.1,0.36,0.6
DigiSport 2,12,8,0.07,0.09,0.37,0.5
Bollywood TV,11,8,0.06,0.08,0.34,0.48
Discovery,9,7,0.05,0.07,0.27,0.41
N24 PLUS,8,3,0.04,0.03,0.24,0.16
Nicktoons,8,5,0.05,0.06,0.25,0.32
Taraf TV,7,2,0.04,0.02,0.21,0.1
DigiSport 3,7,4,0.04,0.04,0.2,0.24
National Geographic,6,4,0.03,0.04,0.18,0.24
ZU TV,6,2,0.04,0.02,0.2,0.13
AXN White,6,3,0.03,0.03,0.19,0.2
TV Paprika,6,5,0.03,0.05,0.19,0.28
AMC,6,3,0.03,0.03,0.18,0.17
Travel Channel,6,5,0.03,0.06,0.18,0.32
National Geographic Wild,5,4,0.03,0.04,0.16,0.23
AXN Black,5,3,0.03,0.03,0.14,0.17
Telekom Sport 1,5,2,0.03,0.02,0.14,0.13
Look Sport,5,2,0.03,0.02,0.16,0.1
TVR 3,5,2,0.03,0.02,0.16,0.13
Music Channel,4,2,0.02,0.03,0.14,0.14
DigiSport 4,4,2,0.02,0.02,0.12,0.12
U TV,3,2,0.02,0.02,0.11,0.14
Animal Planet,3,1,0.02,0.01,0.09,0.05
Hit Music,2,2,0.01,0.02,0.07,0.12
Magic TV,2,2,0.01,0.02,0.06,0.1
E! Entertainment,1,1,0.01,0.01,0.04,0.06
Rock TV,1,0,0,0.01,0.02,0.03
Telekom Sport 3,1,0,0.01,0,0.03,0.02
MTV,0,0,0,0,0,0
VH1,0,0,0,0,0.01,0.02
,,,,,,
Ordonate descrescător în funcție de indicatorul Rtg (000) la nivel național (oaspeții incluși),,,,,,
