Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,739,373,4.2,3.92,17.09,17.36
Antena 1,585,258,3.33,2.71,13.53,12.01
Kanal D,526,212,2.99,2.22,12.16,9.84
Romania TV,351,184,2,1.93,8.13,8.54
Antena 3,211,130,1.2,1.37,4.88,6.05
Prima TV,102,47,0.58,0.49,2.35,2.19
National TV,96,45,0.54,0.47,2.21,2.07
TVR 1,95,48,0.54,0.51,2.21,2.24
Antena Stars,81,35,0.46,0.37,1.87,1.62
TVR 2,78,40,0.44,0.42,1.81,1.87
Pro Cinema,78,34,0.44,0.35,1.8,1.57
B1TV,74,44,0.42,0.46,1.71,2.03
Digi 24,74,51,0.42,0.54,1.71,2.38
Boomerang,66,25,0.37,0.26,1.52,1.16
Pro 2,62,25,0.35,0.26,1.44,1.16
Cartoon Network,55,26,0.31,0.28,1.28,1.22
ETNO,53,18,0.3,0.19,1.23,0.82
Happy Channel,51,25,0.29,0.26,1.17,1.17
Realitatea Plus,42,25,0.24,0.26,0.98,1.16
Nickelodeon,41,15,0.23,0.16,0.94,0.69
Disney Junior,35,16,0.2,0.17,0.8,0.73
Film Cafe,34,18,0.19,0.19,0.78,0.85
AXN,33,19,0.19,0.2,0.76,0.89
Minimax,30,11,0.17,0.11,0.7,0.51
Diva,30,22,0.17,0.23,0.7,1.01
Favorit TV,30,10,0.17,0.11,0.7,0.49
DigiSport 1,30,21,0.17,0.22,0.7,1
Disney,25,10,0.14,0.11,0.57,0.48
Eurosport 1,23,17,0.13,0.18,0.54,0.81
Nick JR,22,10,0.12,0.11,0.51,0.48
TNT,21,11,0.12,0.12,0.48,0.51
Paramount,20,13,0.11,0.13,0.46,0.58
History,18,14,0.1,0.15,0.41,0.67
Pro X,17,9,0.1,0.09,0.4,0.42
TLC,17,11,0.1,0.12,0.4,0.52
DigiSport 2,17,13,0.1,0.14,0.4,0.62
TV1000,16,8,0.09,0.08,0.38,0.37
Nicktoons,14,5,0.08,0.05,0.32,0.22
National Geographic,13,9,0.08,0.09,0.31,0.42
Pro Gold,13,3,0.07,0.04,0.3,0.16
AMC,13,7,0.08,0.07,0.31,0.32
Bollywood TV,13,10,0.07,0.1,0.29,0.45
Discovery,12,9,0.07,0.1,0.27,0.43
Kiss TV,11,4,0.06,0.05,0.26,0.21
N24 PLUS,11,4,0.06,0.04,0.26,0.17
National Geographic Wild,11,6,0.06,0.06,0.25,0.28
Eurosport 2,11,8,0.06,0.09,0.25,0.38
Comedy Central,11,9,0.06,0.09,0.26,0.42
TV Paprika,9,6,0.05,0.07,0.21,0.3
TVR 3,9,5,0.05,0.05,0.21,0.22
AXN White,7,4,0.04,0.04,0.17,0.19
Look Plus,7,3,0.04,0.03,0.17,0.14
DigiSport 3,6,4,0.03,0.05,0.14,0.2
Taraf TV,5,1,0.03,0.01,0.12,0.05
Music Channel,5,2,0.03,0.02,0.11,0.08
ZU TV,5,2,0.03,0.02,0.11,0.11
AXN Black,5,3,0.03,0.03,0.12,0.13
U TV,4,3,0.02,0.03,0.1,0.14
Magic TV,4,3,0.02,0.03,0.1,0.12
DigiSport 4,4,3,0.02,0.03,0.08,0.12
Telekom Sport 1,3,1,0.02,0.01,0.07,0.05
Look Sport,3,1,0.01,0.01,0.06,0.05
Travel Channel,3,3,0.02,0.03,0.08,0.12
Hit Music,2,1,0.01,0.01,0.06,0.06
E! Entertainment,2,1,0.01,0.01,0.04,0.06
Animal Planet,1,1,0.01,0.01,0.03,0.04
Rock TV,1,1,0,0.01,0.02,0.03
Telekom Sport 3,1,0,0.01,0.01,0.03,0.02
VH1,1,1,0,0.01,0.02,0.03
MTV,0,0,0,0,0.01,0.02
