Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,745,353,4.22,3.68,16.64,15.84
Antena 1,603,266,3.41,2.78,13.47,11.96
Kanal D,566,235,3.21,2.45,12.65,10.55
Romania TV,357,186,2.02,1.94,7.98,8.34
Antena 3,226,142,1.28,1.48,5.06,6.38
TVR 1,111,49,0.63,0.52,2.48,2.22
National TV,88,37,0.5,0.38,1.96,1.65
Digi 24,87,63,0.49,0.66,1.93,2.84
Prima TV,84,40,0.48,0.42,1.89,1.81
Antena Stars,84,33,0.48,0.35,1.88,1.49
TVR 2,73,35,0.41,0.36,1.63,1.56
Pro Cinema,73,30,0.41,0.31,1.62,1.33
Realitatea Plus,69,41,0.39,0.43,1.53,1.83
Happy Channel,64,38,0.36,0.39,1.44,1.69
DigiSport 1,62,38,0.35,0.4,1.38,1.71
B1TV,58,33,0.33,0.35,1.3,1.5
Boomerang,57,22,0.32,0.23,1.27,0.97
Pro 2,51,28,0.29,0.29,1.14,1.24
Nickelodeon,49,24,0.28,0.25,1.1,1.08
Diva,42,31,0.24,0.32,0.93,1.37
ETNO,41,11,0.23,0.12,0.9,0.51
Cartoon Network,36,13,0.2,0.13,0.8,0.57
AXN,34,19,0.19,0.2,0.76,0.86
Film Cafe,34,18,0.19,0.19,0.75,0.8
Disney,33,20,0.19,0.2,0.74,0.88
Disney Junior,30,18,0.17,0.19,0.68,0.82
AMC,29,15,0.16,0.15,0.64,0.66
Nick JR,26,11,0.15,0.12,0.59,0.5
Minimax,24,10,0.14,0.11,0.54,0.46
Favorit TV,22,7,0.13,0.07,0.5,0.32
TNT,22,13,0.12,0.13,0.49,0.56
History,21,14,0.12,0.15,0.48,0.65
Comedy Central,17,14,0.09,0.14,0.37,0.62
Pro Gold,16,7,0.09,0.08,0.36,0.33
Bollywood TV,16,8,0.09,0.09,0.37,0.38
TV1000,16,9,0.09,0.09,0.35,0.4
Eurosport 1,15,11,0.08,0.11,0.33,0.48
National Geographic,15,10,0.08,0.1,0.33,0.45
Nicktoons,15,10,0.09,0.1,0.35,0.44
Pro X,14,7,0.08,0.07,0.31,0.32
National Geographic Wild,13,8,0.07,0.08,0.29,0.36
TLC,13,8,0.07,0.09,0.29,0.38
TV Paprika,13,8,0.07,0.09,0.28,0.38
DigiSport 2,13,9,0.08,0.1,0.3,0.41
Discovery,11,8,0.07,0.09,0.26,0.37
N24 PLUS,11,3,0.06,0.03,0.24,0.14
AXN White,9,6,0.05,0.06,0.21,0.27
Eurosport 2,9,6,0.05,0.06,0.19,0.25
Look Sport+,9,5,0.05,0.05,0.19,0.21
TVR 3,9,4,0.05,0.04,0.19,0.18
Kiss TV,7,4,0.04,0.04,0.16,0.18
ZU TV,7,3,0.04,0.03,0.17,0.14
DigiSport 3,7,5,0.04,0.05,0.15,0.22
JIM JAM,7,3,0.04,0.03,0.16,0.13
HGTV,7,5,0.04,0.06,0.15,0.24
Telekom Sport 1,6,3,0.04,0.03,0.14,0.13
Duck TV,5,2,0.03,0.02,0.1,0.09
Aleph News,5,3,0.03,0.03,0.11,0.12
Taraf TV,4,2,0.02,0.02,0.1,0.07
Music Channel,4,1,0.02,0.01,0.08,0.05
AXN Black,4,2,0.02,0.02,0.09,0.09
DigiSport 4,4,3,0.02,0.03,0.08,0.12
Travel Channel,4,3,0.02,0.03,0.08,0.11
U TV,3,2,0.02,0.02,0.08,0.09
Magic TV,3,2,0.02,0.02,0.06,0.09
Hit Music,2,2,0.01,0.02,0.05,0.07
Look Sport,2,1,0.01,0.01,0.05,0.05
E! Entertainment,2,1,0.01,0.01,0.04,0.05
Rock TV,1,1,0.01,0.01,0.02,0.03
Telekom Sport 3,1,0,0,0,0.02,0.02
Canal 33,1,0,0,0,0.01,0.02
