Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,761,351,4.37,3.76,20.19,18.59
Antena 1,471,236,2.7,2.52,12.5,12.49
Kanal D,439,185,2.52,1.98,11.64,9.81
Romania TV,243,130,1.4,1.39,6.45,6.87
Antena 3 CNN,178,111,1.02,1.19,4.74,5.88
Antena Stars,112,45,0.65,0.48,2.98,2.36
Happy Channel,84,39,0.48,0.42,2.24,2.06
Realitatea Plus,76,42,0.44,0.45,2.02,2.21
Digi 24,71,47,0.41,0.5,1.88,2.48
Film Cafe,69,31,0.4,0.33,1.84,1.61
DigiSport 1,69,40,0.39,0.43,1.82,2.13
Pro Cinema,60,23,0.34,0.25,1.59,1.24
Prima TV,56,28,0.32,0.3,1.48,1.49
National TV,48,25,0.28,0.27,1.27,1.34
TVR 1,44,23,0.26,0.25,1.18,1.24
Acasa,42,20,0.24,0.21,1.11,1.05
TVR 2,40,20,0.23,0.22,1.07,1.07
AMC,33,17,0.19,0.18,0.89,0.91
ETNO,32,7,0.18,0.07,0.85,0.37
Cartoon Network,30,14,0.17,0.15,0.79,0.76
Boomerang,30,13,0.17,0.14,0.8,0.67
Diva,28,21,0.16,0.23,0.74,1.14
Minimax,27,7,0.15,0.08,0.7,0.39
Cinemaraton,27,11,0.15,0.12,0.71,0.57
AXN,25,18,0.14,0.19,0.66,0.95
Disney Junior,25,15,0.14,0.16,0.66,0.79
B1TV,24,12,0.14,0.13,0.63,0.65
Nickelodeon,23,10,0.13,0.11,0.62,0.55
Pro Arena,20,11,0.11,0.12,0.53,0.58
Warner TV,19,10,0.11,0.11,0.49,0.55
Bollywood TV,19,9,0.11,0.1,0.49,0.5
History,18,12,0.1,0.13,0.48,0.63
DigiSport 2,16,11,0.09,0.12,0.43,0.57
Nicktoons,16,7,0.09,0.07,0.42,0.37
Disney,15,9,0.09,0.1,0.41,0.5
Nick JR,15,11,0.08,0.11,0.39,0.56
Prima Sport 1,14,5,0.08,0.06,0.36,0.29
Eurosport 1,12,7,0.07,0.08,0.32,0.39
Acasa Gold,12,7,0.07,0.08,0.32,0.38
TV1000,12,8,0.07,0.09,0.32,0.43
TraLaLa TV,12,7,0.07,0.07,0.32,0.35
TeenNick,11,7,0.06,0.08,0.28,0.37
National Geographic,10,5,0.06,0.06,0.26,0.29
Favorit TV,10,3,0.06,0.03,0.27,0.17
Kiss TV,9,3,0.05,0.04,0.23,0.18
N24 PLUS,9,3,0.05,0.03,0.23,0.15
National Geographic Wild,9,4,0.05,0.05,0.23,0.24
TVR 3,9,4,0.05,0.05,0.25,0.23
Discovery,8,8,0.05,0.08,0.22,0.4
Taraf TV,8,3,0.04,0.03,0.2,0.13
Comedy Central,8,6,0.04,0.07,0.2,0.34
AXN Spin,8,7,0.05,0.07,0.21,0.34
Orange Sport 1,7,3,0.04,0.03,0.18,0.17
DigiSport 3,7,4,0.04,0.05,0.18,0.22
TLC,6,4,0.04,0.05,0.17,0.23
Prima Sport 2,6,2,0.03,0.02,0.15,0.1
TV Paprika,6,5,0.03,0.05,0.16,0.25
JIM JAM,6,3,0.03,0.03,0.15,0.14
HGTV,6,4,0.03,0.04,0.15,0.2
AXN Black,5,3,0.03,0.04,0.14,0.18
Viasat History,5,4,0.03,0.04,0.14,0.21
Viasat Explore,5,3,0.03,0.04,0.12,0.17
ZU TV,4,1,0.02,0.02,0.11,0.08
AXN White,4,3,0.02,0.03,0.1,0.13
DigiSport 4,4,3,0.02,0.03,0.1,0.14
TVR Info,4,2,0.03,0.03,0.12,0.13
Party MIX TV,4,2,0.03,0.02,0.12,0.08
U TV,3,2,0.02,0.03,0.09,0.13
Eurosport 2,3,2,0.02,0.02,0.08,0.11
Travel Channel,3,3,0.02,0.03,0.08,0.14
Aleph News,3,2,0.02,0.02,0.07,0.09
A7 TV,3,2,0.02,0.03,0.07,0.13
CBS Reality,3,2,0.02,0.02,0.07,0.12
EuroNews,3,2,0.02,0.03,0.08,0.13
Prima News,3,2,0.02,0.02,0.07,0.1
Music Channel,2,1,0.01,0.01,0.04,0.03
Magic TV,2,2,0.01,0.02,0.06,0.1
Duck TV,2,1,0.01,0.01,0.04,0.06
Metropola TV,2,1,0.01,0.01,0.04,0.05
Prima Sport 3,2,1,0.01,0.01,0.04,0.03
Hit Music,1,1,0.01,0.01,0.03,0.03
E! Entertainment,1,1,0,0.01,0.02,0.03
Orange Sport 3,1,0,0,0.01,0.02,0.03
TVR Cultural,1,1,0.01,0.01,0.04,0.04
Rock TV,0,0,0,0,0.01,0.01
Canal 33,0,0,0,0,0.01,0.02
