Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,520,252,2.93,2.65,17.11,16.24
Kanal D,364,158,2.05,1.66,11.98,10.17
Antena 1,335,170,1.89,1.79,11.02,10.97
Romania TV,236,126,1.33,1.33,7.78,8.11
Antena 3,175,97,0.99,1.02,5.77,6.24
Happy Channel,79,42,0.45,0.44,2.61,2.68
Antena Stars,70,33,0.39,0.35,2.3,2.13
DigiSport 1,60,37,0.34,0.39,1.98,2.38
Digi 24,56,38,0.32,0.4,1.84,2.45
TVR 1,51,25,0.29,0.26,1.69,1.59
National TV,49,24,0.28,0.25,1.62,1.54
Realitatea Plus,49,28,0.28,0.3,1.61,1.82
TVR 2,46,22,0.26,0.24,1.51,1.45
Prima TV,44,20,0.25,0.22,1.44,1.32
Pro Cinema,43,19,0.24,0.2,1.43,1.23
Film Cafe,37,14,0.21,0.15,1.22,0.92
Diva,32,23,0.18,0.25,1.07,1.51
Nickelodeon,31,9,0.18,0.1,1.02,0.61
Disney Junior,29,14,0.16,0.15,0.96,0.89
Acasa,28,11,0.16,0.12,0.92,0.71
Boomerang,28,12,0.16,0.13,0.91,0.79
Cartoon Network,27,13,0.15,0.14,0.89,0.85
AXN,27,20,0.15,0.21,0.89,1.26
B1TV,25,14,0.14,0.15,0.84,0.91
AMC,24,14,0.14,0.14,0.79,0.88
Nicktoons,20,6,0.11,0.06,0.66,0.37
Disney,19,10,0.11,0.1,0.64,0.64
Acasa Gold,19,11,0.11,0.12,0.62,0.72
Warner TV,17,8,0.1,0.08,0.57,0.51
ETNO,16,4,0.09,0.04,0.53,0.25
DigiSport 2,16,11,0.09,0.11,0.53,0.7
Minimax,15,5,0.08,0.06,0.49,0.34
Bollywood TV,14,9,0.08,0.1,0.47,0.61
Eurosport 2,13,9,0.07,0.09,0.42,0.58
TV1000,13,6,0.07,0.07,0.42,0.4
Cinemaraton,13,6,0.07,0.07,0.42,0.42
Pro Arena,12,6,0.07,0.06,0.39,0.39
Nick JR,12,7,0.07,0.07,0.4,0.44
TeenNick,12,9,0.07,0.09,0.39,0.56
History,11,9,0.06,0.09,0.36,0.57
Eurosport 1,9,6,0.05,0.06,0.31,0.37
National Geographic,9,6,0.05,0.06,0.29,0.37
Comedy Central,9,7,0.05,0.08,0.28,0.48
JIM JAM,9,3,0.05,0.03,0.3,0.2
Discovery,8,7,0.04,0.07,0.26,0.42
Favorit TV,8,2,0.05,0.02,0.27,0.11
Prima Sport 1,8,4,0.05,0.04,0.26,0.25
TV Paprika,8,5,0.04,0.05,0.26,0.31
TLC,7,4,0.04,0.05,0.21,0.29
N24 PLUS,6,2,0.03,0.02,0.19,0.13
HGTV,6,4,0.03,0.04,0.2,0.25
Kiss TV,5,2,0.03,0.03,0.16,0.16
ZU TV,5,3,0.03,0.03,0.17,0.19
AXN White,5,4,0.03,0.04,0.17,0.25
Orange Sport 1,5,2,0.03,0.02,0.16,0.13
Viasat History,5,4,0.03,0.04,0.17,0.26
TraLaLa TV,5,3,0.03,0.03,0.17,0.2
Taraf TV,4,1,0.02,0.01,0.14,0.07
National Geographic Wild,4,2,0.03,0.03,0.15,0.15
DigiSport 3,4,3,0.02,0.03,0.14,0.17
Viasat Explore,4,3,0.02,0.03,0.14,0.19
U TV,3,1,0.02,0.01,0.1,0.09
Travel Channel,3,2,0.02,0.02,0.09,0.15
Music Channel,2,1,0.01,0.01,0.07,0.07
AXN Black,2,1,0.01,0.01,0.06,0.09
Prima Sport 2,2,1,0.01,0.01,0.08,0.06
Magic TV,2,1,0.01,0.01,0.08,0.07
DigiSport 4,2,1,0.01,0.02,0.08,0.1
Duck TV,2,1,0.01,0.01,0.06,0.07
Aleph News,2,1,0.01,0.01,0.06,0.07
CBS Reality,2,2,0.01,0.02,0.08,0.12
Hit Music,1,1,0.01,0.01,0.03,0.06
E! Entertainment,1,1,0.01,0.01,0.04,0.06
Metropola TV,1,0,0,0,0.02,0.03
A7 TV,1,1,0.01,0.01,0.05,0.08
NCN,1,0,0,0,0.02,0.02
Rock TV,0,0,0,0,0.01,0.02
Orange Sport 3,0,0,0,0,0.01,0.02
Canal 33,0,0,0,0,0.01,0.02
