Channels,Rtg(000).National +g,Rtg(000).Urban +g,Rtg%.National +g,Rtg%.Urban +g,Share.National +g,Share.Urban +g
Pro TV,554,286,3.11,2.99,16.44,16.06
Antena 1,371,190,2.08,1.98,11.01,10.67
Kanal D,362,154,2.03,1.61,10.74,8.65
Romania TV,250,138,1.41,1.44,7.42,7.76
Antena 3,198,122,1.11,1.28,5.87,6.87
TVR 1,111,57,0.63,0.6,3.31,3.2
National TV,81,40,0.46,0.41,2.41,2.22
Prima TV,77,35,0.43,0.37,2.28,1.99
Antena Stars,64,29,0.36,0.3,1.89,1.61
B1TV,61,37,0.34,0.39,1.81,2.08
Digi 24,57,40,0.32,0.42,1.68,2.26
Pro 2,56,28,0.31,0.3,1.65,1.6
TVR 2,52,26,0.29,0.27,1.54,1.47
Realitatea TV,52,33,0.29,0.34,1.55,1.85
Cartoon Network,51,29,0.29,0.31,1.51,1.64
ETNO,44,14,0.24,0.14,1.29,0.77
Pro Cinema,42,20,0.23,0.21,1.24,1.11
Minimax,41,18,0.23,0.19,1.22,1.01
Boomerang,41,17,0.23,0.18,1.21,0.95
Happy Channel,40,22,0.22,0.23,1.18,1.23
AXN,38,23,0.21,0.24,1.11,1.31
DigiSport 1,36,24,0.2,0.25,1.07,1.35
Diva,34,27,0.19,0.28,1.01,1.51
Disney,32,17,0.18,0.18,0.95,0.97
Disney Junior,31,14,0.17,0.15,0.91,0.79
Film Cafe,30,15,0.17,0.16,0.9,0.86
Favorit TV,27,10,0.15,0.11,0.79,0.59
Nickelodeon,27,15,0.15,0.15,0.79,0.82
Paramount,19,13,0.11,0.13,0.57,0.71
TNT,18,9,0.1,0.09,0.54,0.51
Nick JR,17,6,0.09,0.07,0.5,0.36
Kiss TV,16,8,0.09,0.08,0.48,0.45
Pro X,15,8,0.08,0.08,0.44,0.45
Eurosport 1,14,10,0.08,0.1,0.42,0.56
Look Plus,14,4,0.08,0.04,0.43,0.2
TLC,13,10,0.07,0.1,0.4,0.54
History,13,11,0.07,0.11,0.38,0.59
DigiSport 2,13,10,0.07,0.1,0.39,0.56
Pro Gold,11,5,0.06,0.05,0.33,0.28
Bollywood TV,11,8,0.06,0.09,0.32,0.48
Comedy Central,10,9,0.06,0.1,0.31,0.51
Discovery,8,6,0.05,0.06,0.24,0.35
N24 PLUS,8,3,0.04,0.03,0.23,0.16
Taraf TV,8,3,0.05,0.03,0.24,0.15
ZU TV,8,3,0.05,0.03,0.25,0.15
Nicktoons,8,6,0.04,0.06,0.23,0.34
Eurosport 2,7,5,0.04,0.05,0.2,0.25
AMC,7,3,0.04,0.03,0.2,0.18
DigiSport 3,7,4,0.04,0.05,0.2,0.24
Travel Channel,7,7,0.04,0.07,0.22,0.4
National Geographic,6,4,0.03,0.04,0.18,0.23
National Geographic Wild,6,4,0.03,0.04,0.17,0.23
Music Channel,6,2,0.04,0.02,0.19,0.12
AXN White,6,3,0.03,0.03,0.18,0.18
TV Paprika,6,5,0.04,0.05,0.19,0.27
TVR 3,6,3,0.03,0.03,0.18,0.17
U TV,4,3,0.02,0.03,0.11,0.14
AXN Black,4,3,0.03,0.03,0.13,0.14
Animal Planet,3,1,0.02,0.01,0.09,0.05
Telekom Sport 1,3,1,0.01,0.01,0.08,0.07
Look Sport,3,1,0.02,0.01,0.08,0.06
DigiSport 4,3,2,0.02,0.02,0.09,0.11
Hit Music,2,2,0.01,0.02,0.07,0.11
E! Entertainment,1,1,0,0.01,0.02,0.03
Rock TV,1,1,0,0.01,0.02,0.03
Magic TV,1,1,0.01,0.01,0.03,0.05
Telekom Sport 3,1,0,0.01,0,0.04,0.02
MTV,1,0,0,0,0.02,0
VH1,0,0,0,0,0.01,0.02
